Nº SÉRIE;COMBUSTÍVEL;MODELO;MARCA;TORRE (M);CAP CARGA (KG);LOTADA;CLIENTE;PREGÃO;NF;EMPRESA;DATA COMPRA;ACESSÓRIOS 1;ACESSÓRIOS 2;ACESSÓRIOS 3;ACESSÓRIOS 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010383V6195;DIESEL - AZUL;CPCD-38;GURGEL;4,75;3800;DEP. SABOÓ;DISPONÍVEL;;4509;ZERO13;14/02/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010383U7847;DIESEL - AZUL;CPCD-38;GURGEL;4,7;3800;RIO DE JANEIRO/RJ;CEDAE;ELLUS - PE 0016/2023;3593;SIGMA;12/06/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010383U7845;DIESEL - AZUL;CPCD-38;GURGEL;4,7;3800;RIO DE JANEIRO/RJ;CEDAE;ELLUS - PE 0016/2024;3686;SIGMA;12/06/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 L97142558P2009853;GLP;CPQY 2548;GURGEL;4,8;2500;PRAIA GRANDE/SP;SENAT;ELLUS - CR 002/2022;740;ZERO13;08/09/2023;01 CILINDRO P20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L97142552P2009265;GLP;CPQY 2548;GURGEL;4,8;2500;DEP. SABOÓ;DISPONÍVEL;;495;ELLUS;15/08/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L97142555P2009261;GLP;CPQY 2548;GURGEL;4,8;2500;DEP. SABOÓ;DISPONÍVEL;;1064;BAUHAUS DO BRASIL;03/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L97142551P2009855;GLP;CPQY 2548;GURGEL;4,8;2500;GOIÂNIA/GO;SENAT;ELLUS - CR 002/2024;616;SIGMA;23/08/2023;02 CILINDROS P20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L97142554P2009848;GLP;CPQY 2548;GURGEL;4,8;2500;DEP. SABOÓ;DISPONÍVEL;;932;ZERO13;22/09/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250353G4686;GLP;G3547;GURGEL;4,7;3500;CASCAVEL/PR;TRANSITAR;ELLUS - PE 12/2024;5028;SIGMA;17/07/2024;02 CILINDROS P20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L9714255XR2011428;GLP;G2548;GURGEL;4,8;2500;DEP. SABOÓ;DISPONÍVEL;;5847;SIGMA;22/08/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L97142558R2011427;GLP;G2548;GURGEL;4,8;2500;DEP. SABOÓ;DISPONÍVEL;;5847;SIGMA;22/08/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L97142550R2011325;GLP;G2548;GURGEL;4,8;2500;**** FURTADA ****;COPASA/MG;ELLUS -CDE 120250219;5848;ZERO13;22/08/2024;02 CILINDRO P20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L97142551R2011432;GLP;G2548;GURGEL;4,8;2500;DIVINÓPOLIS;COPASA/MG;ELLUS - CDE 120250219;5848;ZERO13;22/08/2024;01 CILINDRO P20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L97142558R2011430;GLP;G2548;GURGEL;4,8;2500;RIBEIRÁO PRETO;BANCO DO BRASIL;ELLUS - SM 01662/2025;5848;ZERO13;22/08/2024;01 CILINDRO P20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L97142559P2009845;GLP;CPQY 2548;GURGEL;4,8;2500;DEP. SABOÓ;DISPONÍVEL;;5385;SIGMA;01/08/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14BB37096;DIESEL;MD35;MOVIX;4,5;3500;BLUMENAU/SC;PM BLUMENAU;ELLUS - PE 014/2023;11539;SIGMA;24/04/2023;01 PROLONGADOR DE GARFO 2,4M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23BC01759;ELÉTRICA;ME25XC4IT45;MOVIX;4,5;2500;CABO DE SANTO AGOSTINHO/PE;SENAT;ELLUS - PE 087/2024;14137;ELLUS;27/02/2024;01 CARREGADOR TRIFÁSICO;01 BATERIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23BC00068;ELÉTRICA;ME25XC4ID33;MOVIX;3,3;2500;BRASÍLIA/DF;BANCO DO BRASIL;ELLUS - LE 2023/01461;12125;ELLUS;06/07/2023;01 CARREGADOR;01 BATERIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23BC00065;ELÉTRICA;ME15XC4D33;MOVIX;3,3;2500;BRASÍLIA/DF;BANCO DO BRASIL;ELLUS - LE 2023/01461;12124;ELLUS;06/07/2023;01 CARREGADOR;01 BATERIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18BC05677;GLP;MG25;MOVIX;4,5;2500;SOROCABA;SENAT;ELLUS - DL ADM 036/2022;13026;ZERO13;20/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18BD02560;GLP;MG25;MOVIX;4,5;2500;DEP. SABOÓ;DISPONÍVEL;;16009;ELLUS;13/08/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18BC00701 ;GLP;MG25;MOVIX;4,5;2500;ASSIS/SP;SENAT;ELLUS - CR 001/2024;11830;SIGMA;30/05/2023;01 CILINDRO P20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18BC00702;GLP;MG25;MOVIX;4,5;2500;SÃO VICENTE/SP;SENAT SÃO VICENTE/SP;ELLUS - DL 12/CM/2024;11917;ZERO13;09/06/2023;01 CILINDRO P20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18BC11226;GLP;MG25;MOVIX;6;2500;MONGAGUÁ;DEP. ALLEX;;15270;ZERO13;11/06/2024;01 CILINDRO P20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230472;ELÉTRICA RETRÁTIL;PR2070i;PALETRANS;7;2000;UBERLÂNDIA/MG;PM UBERLÂNDIA-ADM;ELLUS - PE 730/2022;14229;ELLUS;25/07/2023;01 CARREGADOR TRIFÁSICO;02 BATERIAS;01 CARRINHO;01 SUPORTE DUPLO PARA CARREG/BATERIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20230698;ELÉTRICA PATOLADA;PT 1654 FAST;PALETRANS;5,4;1600;UBERLÂNDIA/MG;PM UBERLÂNDIA-ADM;ELLUS - PE 730/2022;14271;SIGMA;02/08/2023;01 CARREGADOR MONOFÁSICO;01 BATERIA;01 KIT BATERIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2240726;ELÉTRICA PATOLADA;PT 1654 FAST;PALETRANS;5,4;1600;BELÉM/PA;TRIBUNAL JUSTIÇA PARÁ;ELLUS - PE 90008/2024;82;ELLUS;19/08/2024;01 CARREGADOR MONOFÁSICO;01 BATERIA;01 KIT BATERIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010353K2829;DIESEL - AMARELA;D3560;GURGEL;6;3500;RIO DE JANEIRO/RJ;MARINHA;ELLUS - DL 16/2026;9534;SIGMA;13/02/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUGADA;ELÉTRICA;RETRÁTIL;PALETRANS;8,825;1700;RECIFE/PE;COMPESA/PE;ELLUS;ALUGADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L97142557P2009259;GLP;CPQY 2548;GURGEL;4,8;2500;RECIFE/PE;COMPESA/PE;ELLUS - SM 071/2025;759;SIGMA;06/09/2023;02 CILINDRO P20;04 PNEUS MACIÇOS;04 PNEUS PNEUMÁTICOS;CONTRAPESO 400 KG + EXTENSOR DE GARFO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20250097;ELÉTRICA PATOLADA;PT1654 FAST;PALETRANS;5.4;1600;CUIABÁ;PM CUIABÁ;ELLUS - PE 005/2025;4624;ZERO13;10/04/2025;;01 BATERIA;01 CARREGADOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALUGADA;ELÉTRICA PATOLADA;EVG 16;STILL;5,64;1600;BRASÍLIA/DF;FNDE;ELLUS - DL 101/2025;ALUGADA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20250014;ELÉTRICA PATOLADA;PT1654 FAST;PALETRANS;5,4;1600;RIO DE JANEIRO/RJ;FIO CRUZ;ELLUS - PE 90324/2024;4554;SIGMA;13/01/2025;01 CARREGADOR;01 BATERIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20250020;ELÉTRICA PATOLADA;PT1654 FAST;PALETRANS;5,4;1600;RIO DE JANEIRO/RJ;FIO CRUZ;ELLUS - PE 90324/2024;4556;SIGMA;13/01/2025;01 CARREGADOR;01 BATERIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;