Nº SÉRIE;COMBUSTÍVEL;MODELO;MARCA;LOTADA;CLIENTE;PREGÃO;NF;EMPRESA;DATA COMPRA;ACESSÓRIOS 1;ACESSÓRIOS 2
TG550243461W ;DIESEL;55KVA;TECMAX;DEP. SABOÓ;DISPONÍVEL;;4237;SIGMA;20/07/2024;01 QTA;
TG1000243451W ;DIESEL;100 KVA;TECMAX;ALTO DO PIQUIRI/PR;PM ALTO PIQUIRI;ELLUS - DL 13/2024;4202;ELLUS;05/07/2024;01 QTA;
TG550243510W;DIESEL;55 KVA;TECMAX;CORUMBÁ/MS;BATALHÃO ENGENHARIA;ELLUS - DE 90029/2024;4465;ELLUS;06/11/2024;01 QTA;RETORNANDO
TG300243520F;DIESEL;33 KVA;TECMAX;ESPÍRITO SANTO;SES/ES;ELLUS - PE 257/2024;4521;ZERO13;10/12/2024;01 QTA;
TG300243537F;;33 KVA;;ESPÍRITO SANTO;SES/ES;ELLUS - PE 902/2023;4561;;;;
TG300253581F;DIESEL;33 KVA;TECMAX;QUATIS;PM QUATIS;ELLUS - PP 24/2024;4708;ELLUS;06/03/2025;01 QTA;590 KG
TG300253582F;DIESEL;33 KVA;TECMAX;ITARANA;PM ITARANA;ELLUS - DL 002/2025;4708;ELLUS;06/03/2025;01 QTA;590 KG
;;;;;PM IBIRACI;ELLUS - ALUGADO;;;;;
TG300253652F;;30 KVA;;PIRAPORA;PM PIRAPORA;ELLUS - DL 001/2025;5160;SIGMA;19/08/2025;01 QTA;
TG300253560F;;25 KVA;;ALBERTINA;PM ALBERTINA;ELLUS - PP 017/2025;4689;ZERO13;26/02/2025;01 QTA;QTA FURTADO
TG830253661Y;DIESEL;81 KVA;TECMAX;DEP. SABOÓ;DISPONÍVEL;;5164;SIGMA;19/08/2025;01 QTA;Tanque 300 litros, palete de contenção, vibra stop